super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2665,Vaughn College Of Aeronautics And Technology,New York,NY,30900,53000,36.477882,0.11981525,44.843544,1.7666299,16.357975,0.64442915,-7.9987764,-5.7506108,207.6666667
7273,CUNY Bernard M. Baruch College,New York,NY,42800,57600,27.632242,0.55920202,46.824234,2.5568271,12.938586,0.70650864,-9.1865492,-12.297223,1083
2688,City College Of New York - CUNY,New York,NY,35500,48500,32.546474,0.23351549,36.021557,1.4087214,11.723747,0.45848918,-9.8015804,-13.879366,582.3333333
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333
1140,"California State University, Los Angeles",Los Angeles,CA,36600,43000,33.116928,0.15598091,29.949804,0.083619982,9.9184551,0.027692368,-13.313572,-14.919846,1179.666667
2693,CUNY John Jay College Of Criminal Justice,New York,NY,41800,45200,27.158951,0.097911149,35.684139,0.30840749,9.6914377,0.083760239,-3.9944887,-8.185668,1228
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5
2791,Pace University,New York,NY,68600,60700,15.173292,1.2134688,55.575592,2.761539,8.4326468,0.41901636,-5.950985,-13.538049,1353.333333
2838,State University Of New York At Stony Brook,New York,NY,73600,60100,16.416624,0.44201165,51.245296,1.9444995,8.4127474,0.31922117,-6.716249,-10.386624,2070.666667
2696,New York City College Of Technology Of The City University Of New,New York,NY,33500,37000,35.256516,0.10819948,23.638399,0.19894305,8.3340759,0.070140384,-7.0691638,-9.1352043,1488.333333
21662,ITI Technical College,Baton Rouge,LA,56000,55000,20.257362,0.34329841,40.163651,0.14645728,8.136097,0.029668383,-10.871756,-16.802845,92
9651,Texas A&M International University,Laredo,TX,35400,42800,31.893793,0.46419528,25.357273,0.006767011,8.0873957,0.002158257,-6.1688261,-6.8036261,258
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666667
11031,Technical Career Institutes,New York,NY,29700,31300,40.302402,0.029217871,19.843748,0.1431327,7.9975071,0.057685915,-1.35367,-2.8605595,562
