pctile,cohort,k_indv_earn,k_wagse_hh,k_agi,par_hh_inc
0,1980,0,0,0,0
1,1980,0,0,0,4300
2,1980,0,0,0,6700
3,1980,0,0,0,8500
4,1980,0,0,0,9900
5,1980,0,0,0,11200
6,1980,0,0,0,12300
7,1980,0,0,0,13400
8,1980,0,0,0,14400
9,1980,0,0,0,15300
10,1980,0,0,0,16200
11,1980,0,0,0,17200
12,1980,0,0,0,18100
13,1980,0,0,0,19000
14,1980,0,200,700,19900
15,1980,0,1200,1900,20800
16,1980,0,2600,3400,21700
17,1980,0,4100,5000,22600
18,1980,0,5700,6500,23500
19,1980,200,7300,8000,24400
20,1980,800,8700,9400,25300
21,1980,1500,9800,10400,26200
22,1980,2400,10900,11600,27200
23,1980,3400,12100,12800,28100
24,1980,4500,13200,13800,29100
25,1980,5500,14100,14600,30100
26,1980,6600,15000,15600,31100
27,1980,7700,16000,16600,32000
28,1980,8700,17000,17600,33100
29,1980,9600,18100,18600,34100
30,1980,10400,19200,19700,35200
31,1980,11400,20300,20800,36200
32,1980,12300,21400,21900,37300
33,1980,13200,22500,23000,38400
34,1980,13900,23600,24000,39600
35,1980,14700,24700,25100,40800
36,1980,15500,25800,26200,41900
37,1980,16300,26900,27200,43100
38,1980,17200,28000,28300,44300
39,1980,18000,29000,29400,45600
40,1980,18900,30100,30500,46800
41,1980,19800,31200,31500,48100
42,1980,20700,32300,32600,49400
43,1980,21600,33400,33700,50700
44,1980,22500,34500,34800,52000
45,1980,23400,35600,36000,53300
46,1980,24300,36700,37100,54600
47,1980,25100,37900,38200,55900
48,1980,26000,39000,39400,57300
49,1980,26900,40200,40600,58600
50,1980,27700,41400,41800,60000
51,1980,28600,42600,43000,61300
52,1980,29400,43700,44200,62700
53,1980,30300,45000,45500,64100
54,1980,31100,46300,46800,65500
55,1980,32000,47600,48200,66900
56,1980,32800,48900,49500,68300
57,1980,33700,50300,50900,69700
58,1980,34500,51700,52400,71100
59,1980,35400,53100,53900,72600
60,1980,36200,54600,55500,74000
61,1980,37100,56200,57000,75500
62,1980,38000,57800,58600,77000
63,1980,38900,59400,60300,78500
64,1980,39800,61000,62000,80100
65,1980,40700,62700,63700,81600
66,1980,41600,64400,65500,83200
67,1980,42500,66200,67400,84800
68,1980,43400,68000,69200,86500
69,1980,44400,69800,71100,88200
70,1980,45400,71700,73000,89900
71,1980,46400,73600,75000,91600
72,1980,47500,75500,77000,93500
73,1980,48600,77500,79000,95300
74,1980,49700,79500,81100,97300
75,1980,50900,81500,83200,99300
76,1980,52100,83600,85300,101400
77,1980,53400,85800,87600,103600
78,1980,54800,88100,89900,105800
79,1980,56200,90400,92300,108200
80,1980,57700,92800,94800,110700
81,1980,59400,95300,97400,113300
82,1980,61000,98000,100100,116100
83,1980,62900,100800,103000,119000
84,1980,64800,103700,106100,122200
85,1980,66900,106800,109300,125700
86,1980,69100,110200,112800,129400
87,1980,71500,113800,116600,133500
88,1980,74100,117800,120800,138100
89,1980,77000,122100,125500,143100
90,1980,80100,127000,130900,149000
91,1980,83600,132500,137000,155800
92,1980,87600,138800,144100,163900
93,1980,92300,146200,152700,173700
94,1980,97900,155200,162800,186100
95,1980,104800,166300,175300,203000
96,1980,113900,180900,191900,227700
97,1980,126700,201900,216100,266300
