STATE,RATE,DEATHS
AL,16.9,815.00
AK,19.2,145.00
AZ,13.5,927.00
AR,16.6,496.00
CA,7.4,2942.00
CO,12.2,663.00
CT,5,187.00
DE,11.1,102.00
FL,11.5,2410.00
GA,13.7,1391.00
HI,2.6,40.00
ID,13.2,213.00
IL,9,1179.00
IN,12.4,818.00
IA,7.5,241.00
KS,11.3,329.00
KY,13.9,634.00
LA,19,896.00
ME,9.4,133.00
MD,9,546.00
MA,3.2,226.00
MI,11.1,1095.00
MN,6.6,377.00
MS,18.3,547.00
MO,15.3,943.00
MT,16.1,172.00
NE,9.5,179.00
NV,14.8,429.00
NH,8.7,122.00
NJ,5.3,468.00
NM,16,340.00
NY,4.2,875.00
NC,11.8,1206.00
ND,12.3,96.00
OH,10.3,1211.00
OK,15.7,611.00
OR,11.7,497.00
PA,10.5,1390.00
RI,3,34.00
SC,15.5,767.00
SD,10.3,89.00
TN,15.1,1016.00
TX,10.7,2848.00
UT,12.3,337.00
VT,10.3,69.00
VA,10.3,889.00
WA,9.7,702.00
WV,14.6,286.00
WI,8.2,487.00
WY,16.2,93.00
