State,Population,Population density  (inhabitants per square mile),Total Gun Deaths,Gun ownership (%),"Gun murders  (rate per 100,000 inhabitants)"
Alabama,4779736,94.65,135,0.489,2.8
Alaska,710231,1.26,19,0.617,2.7
Arizona,6392017,57.05,232,0.323,3.6
Arkansas,2915918,56.43,93,0.579,3.2
California,37253956,244.20,1257,0.201,3.4
Colorado,5029196,49.33,65,0.343,1.3
Connecticut,3574097,741.40,97,0.166,2.7
Delaware,897934,470.70,38,0.052,4.2
Florida,19687653,360.20,669,0.325,3.4
Georgia,9920000,165.00,376,0.316,3.8
Hawaii,1360301,216.80,7,0.451,0.5
Idaho,1567582,19.50,12,0.569,0.8
Illinois,12830632,231.90,364,0.262,2.8
Indiana,6483802,182.50,142,0.338,2.2
Iowa,3046355,54.81,21,0.338,0.7
Kansas,2853118,35.09,63,0.322,2.2
Kentucky,4339367,110.00,116,0.424,2.7
Louisiana,4533372,105.00,351,0.445,7.7
Maine,1328361,43.04,11,0.226,0.8
Maryland,5773552,606.20,293,0.207,5.1
Massachusetts,6547629,852.10,118,0.226,1.8
Michigan,9883640,174.80,413,0.288,4.2
Minnesota,5303925,67.14,53,0.367,1.0
Mississippi,2967297,63.50,120,0.428,4.0
Missouri,5988927,87.26,321,0.271,5.4
Montana,989415,6.86,12,0.523,1.2
Nebraska,1826341,23.97,32,0.198,1.8
Nevada,2700551,24.80,84,0.375,3.1
New Hampshire,1316470,147.00,5,0.144,0.4
New Jersey,8791894,1189.00,246,0.113,2.8
New Mexico,2059179,17.16,67,0.499,3.3
New York,19378102,415.30,517,0.103,2.7
North Carolina,9535483,200.60,286,0.287,3.0
North Dakota,672591,9.92,4,0.479,0.6
Ohio,11536504,282.50,310,0.196,2.7
Oklahoma,3751351,55.22,111,0.312,3.0
Oregon,3831074,40.33,36,0.266,0.9
Pennsylvania,12702379,285.30,457,0.271,3.6
Rhode Island,1052567,1006.00,16,0.058,1.5
South Carolina,4625364,157.10,207,0.444,4.5
South Dakota,814180,10.86,8,0.350,1.0
Tennessee,6346105,156.60,219,0.394,3.5
Texas,25145561,98.07,805,0.357,3.2
Utah,2763885,34.30,22,0.319,0.8
Vermont,625741,67.73,2,0.288,0.3
Virginia,8001024,207.30,250,0.293,3.1
Washington,6724540,102.60,93,0.277,1.4
West Virginia,1852994,77.06,27,0.542,1.5
Wisconsin,5686986,105.20,97,0.347,1.7
Wyoming,563626,5.85,5,0.538,0.9
