state,abbreviation,population,deaths,per capita
Wyoming,WY,493782,986228,2.003
Vermont,VT,608827,546102,4.459
Alaska,AK,626932,1257292,1.995
North Dakota,ND,642200,1043714,2.461
South Dakota,SD,754844,1358033,2.223
Delaware,DE,783600,565691,5.541
Montana,MT,902195,2064552,1.748
Rhode Island,RI,1048319,327283,12.812
Hawaii,HI,1211537,218422,22.187
New Hampshire,NH,1235786,1769123,2.794
Maine,ME,1274923,1401329,3.639
Idaho,ID,1293953,2275019,2.275
Nebraska,NE,1711263,1253757,5.46
West Virginia,WV,1808344,3576540,2.022
New Mexico,NM,1819046,2324880,3.13
Nevada,NV,1998257,1931538,4.138
Utah,UT,2233169,4840457,1.845
Arkansas,AR,2673400,4136800,2.585
Kansas,KS,2688418,2901671,3.706
Mississippi,MS,2844658,3968573,2.867
Iowa,IA,2926324,2588101,4.523
Connecticut,CT,3405565,3438532,3.962
Oregon,OR,3421399,4304512,3.179
Oklahoma,OK,3450654,5118881,2.696
South Carolina,SC,4012012,4483238,3.58
Kentucky,KY,4041769,36914792,0.438
Colorado,CO,4301261,6860561,2.508
Alabama,AL,4447100,7464070,2.383
Louisiana,LA,4468976,5189165,3.445
Minnesota,MN,4919479,7217106,2.727
Arizona,AZ,5130632,5008084,4.098
Maryland,MD,5296486,2272350,9.323
Wisconsin,WI,5363675,5840059,3.674
Missouri,MO,5595211,7338774,3.05
Tennessee,TN,5689283,8411093,2.706
Washington,WA,5894121,7337511,3.213
Indiana,IN,6080485,9187425,2.647
Massachusetts,MA,6349097,2894033,8.775
Virginia,VA,7078515,6637184,4.266
North Carolina,NC,8049313,8609144,3.74
Georgia,GA,8186453,8072751,4.056
New Jersey,NJ,8414350,1287928,26.133
Michigan,MI,9938444,8015081,4.96
Ohio,OH,11353140,9570837,4.745
Pennsylvania,PA,12281054,14722971,3.337
Illinois,IL,12419293,19638352,2.53
Florida,FL,15982378,13576184,4.709
New York,NY,18976457,5201145,14.594
Texas,TX,20851820,21878170,3.812
California,CA,33871648,21032305,6.442
