State,Abbreviation,Category
Alabama,AL,non
Alaska,AK,non
Arizona,AZ,non
Arkansas,AR,non
California,CA,full
Colorado,CO,full
Connecticut,CT,full
Delaware,DE,non
Florida,FL,full
Georgia,GA,non
Hawaii,HI,full
Idaho,ID,non
Illinois,IL,full
Indiana,IN,non
Iowa,IA,partial
Kansas,KS,non
Kentucky,KY,non
Louisiana,LA,non
Maine,ME,non
Maryland,MD,partial
Massachusetts,MA,non
Michigan,MI,non
Minnesota,MN,non
Mississippi,MS,non
Missouri,MO,non
Montana,MT,non
Nebraska,NE,partial
Nevada,NV,full
New Hampshire,NH,partial
New Jersey,NJ,full
New Mexico,NM,non
New York,NY,non
North Carolina,NC,partial
North Dakota,ND,non
Ohio,OH,non
Oklahoma,OK,non
Oregon,OR,full
Pennsylvania,PA,full
Rhode Island,RI,non
South Carolina,SC,non
South Dakota,SD,non
Tennessee,TN,full
Texas,TX,non
Utah,UT,full
Vermont,VT,non
Virginia,VA,full
Washington,WA,partial
West Virginia,WV,non
Wisconsin,WI,partial
Wyoming,WY,non
